category,product_name,brand,price,rating,rating_avg,rating_count,scrape_date
Mouse,"Logitech G502 Lightspeed Wireless Gaming Mouse with Hero 25K Sensor, PowerPlay Compatible, Tunable Weights and Lightsync RGB - Black",Logitech,99.99,,4.2,,2026-01-14
Mouse,"Corsair Dark Core RGB Pro SE, Wireless FPS/MOBA Gaming Mouse with Slipstream Technology, Black, Backlit RGB LED, 18000 DPI, Optical, Qi Wireless Charging Certified",Unknown,69.99,,4.2,,2026-01-14
Mouse,"Corsair SCIMITAR RGB ELITE CH-9304211-NA Black 17 Buttons 1 x Wheel USB 2.0 Type-A Wired Optical MOBA/MMO Gaming Mouse, Backlit RGB LED",Unknown,59.99,,3.9,,2026-01-14
Mouse,"Redragon M913 Impact Elite Wireless Gaming Mouse, 16000 DPI Wired/Wireless RGB Gamer Mouse with 16 Programmable Buttons, 45 Hr Battery and Pro Optical Sensor, 12 Side Buttons MMO Mouse",Unknown,46.99,,4.0,,2026-01-14
Mouse,Razer Viper V3 Pro Ultra-lightweight Wireless Symmetrical Esports Gaming Mouse - White,Unknown,129.99,,,,2026-01-14
Mouse,"Redragon M612AK PRO RGB Gaming Mouse, 8000 DPI Wired/Wireless Optical Mouse with 9 Programmable Buttons & 7 Backlit Modes, BT & 2.4G Wireless, Software Supports DIY Keybinds Rapid Fire Button",Unknown,36.99,,,,2026-01-14
Mouse,"CORSAIR NIGHTSWORD RGB Performance Tunable FPS/MOBA Gaming Mouse, Black, Backlit RGB LED, 18000 dpi, Optical",Unknown,69.99,,4.3,,2026-01-14
Mouse,"Exsurf USB Wired Gaming Mouse Black Lightweight, Ergonomic Gamer Computer Mice with Breathing RGB Light, Sniper Button",Exsurf,19.99,,,,2026-01-14
Mouse,"ASUS ROG Spatha X Wireless Gaming Mouse (Magnetic Charging Stand, 12 Programmable Buttons, 19,000 DPI, Push-fit Hot Swap Switch Sockets, ROG Micro Switches, ROG Paracord and Aura RGB lighting)",ASUS,119.99,,4.0,,2026-01-14
Mouse,"Redragon M612 PRO RGB Gaming Mouse, 8000 DPI BT Wired/Wireless Optical Gamer Mouse 9 Programmable Buttons & 7 Backlit Modes,Software Supports DIY Keybinds Rapid Fire Button,Black",Unknown,36.99,,4.3,,2026-01-14
Mouse,"Logitech (G) G502X  wired Gaming Mouse,  RGB with Weighted Macro Programming, 25600DPI, 13 buttons,  Laptop Big Hand Mouse,for Windows® 7 or later/macOS 10.11 or later/ChromeOS, black",Unknown,66.99,,4.8,,2026-01-14
